positionId,positionName,committeeId,committeeName,schoolId,schoolName,,,,,,In DB,,,,school,,,,
485,"Smedley McClintock III., Senior Partner at Sullivan and Cromwell",82,Mexican Constitutional Congress (1917),98,Belmont Hill School,,,,,,,,,,,,,,
853,DAWN 2,83,Press Corps (2019),98,Belmont Hill School,,,,,,,,,,,,,,
643,George Church,86,Second International Summit on Human Genome Editing (2018),98,Belmont Hill School,,,,,,,,,,,,,,
758,Miyake Shotaro (Japan),94,Tokyo Trials (1946-48),98,Belmont Hill School,,,,,,,,,,,,,,
723,South Africa,85,UN Climate Change Conference (2020),98,Belmont Hill School,,,,,,,,,,,,,,
348,Netherlands,100,United Nations Office on Drugs and Crime,98,Belmont Hill School,,,,,,,,,,,,,,
332,France,100,United Nations Office on Drugs and Crime,98,Belmont Hill School,,,,,,,,,,,,,,
838,Uzbek Soviet Socialist Republic,115,27th Congress of the Communist Party of the Soviet Union (1986),153,Boston University Academy,,,,,,,,,,,,,,
825,Armenian Soviet Socialist Republic,115,27th Congress of the Communist Party of the Soviet Union (1986),153,Boston University Academy,,,,,,,,,,,,,,
584,Kenya,95,Accelerando 2030,153,Boston University Academy,,,,,,,,,,,,,,
603,Position 16,81,Ad-Hoc,153,Boston University Academy,,,,,,,,,,,,,,
813,Shelley L. Reynolds,91,Amazon Board of Directors (2019),153,Boston University Academy,,,,,,,,,,,,,,
819,Judith A. McGrath,91,Amazon Board of Directors (2019),153,Boston University Academy,,,,,,,,,,,,,,
549,"Liam Fox, Secretary of State for Foreign Trade",93,Brexit,153,Boston University Academy,,,,,,,,,,,,,,
486,Antonio Diaz Soto y Gama,82,Mexican Constitutional Congress (1917),153,Boston University Academy,,,,,,,,,,,,,,
2,Angola,109,African Union,122,Buckingham Browne & Nichols,,,,,,,,,,,,,,
815,David A. Zapolsky,91,Amazon Board of Directors (2019),122,Buckingham Browne & Nichols,,,,,,,,,,,,,,
698,Ambassador Muhittin,88,Congress of Lutsk (1429) ,122,Buckingham Browne & Nichols,,,,,,,,,,,,,,
686,Emperor Sigismund of the Holy Roman Empire,88,Congress of Lutsk (1429) ,122,Buckingham Browne & Nichols,,,,,,,,,,,,,,
524,Edward Kennedy - Massachusetts,79,Convention on the Elimination of all Forms of Discrimination Against Women (CEDAW),122,Buckingham Browne & Nichols,,,,,,,,,,,,,,
49,Indonesia,97,Disarmament and International Security Committee,122,Buckingham Browne & Nichols,,,,,,,,,,,,,,
41,USA,97,Disarmament and International Security Committee,122,Buckingham Browne & Nichols,,,,,,,,,,,,,,
509,Marie Theres Louis,80,Estates General (1789),122,Buckingham Browne & Nichols,,,,,,,,,,,,,,
731,Messali Hadj,89,Post-Colonial Algeria (1962),122,Buckingham Browne & Nichols,,,,,,,,,,,,,,
678,Thomas Dell,87,Seneca Falls Convention (1848),122,Buckingham Browne & Nichols,,,,,,,,,,,,,,
682,Margaret Pryor,87,Seneca Falls Convention (1848),122,Buckingham Browne & Nichols,,,,,,,,,,,,,,
405,Canada,108,"United Nations Educational, Scientific, and Cultural Organization",122,Buckingham Browne & Nichols,,,,,,,,,,,,,,
419,Poland,108,"United Nations Educational, Scientific, and Cultural Organization",122,Buckingham Browne & Nichols,,,,,,,,,,,,,,
87,Netherlands,98,United Nations Human Rights Council,122,Buckingham Browne & Nichols,,,,,,,,,,,,,,
832,Latvian Soviet Socialist Republi,115,27th Congress of the Communist Party of the Soviet Union (1986),152,Burlington High School,,,,,,,,,,,,,,
835,Tajik Soviet Socialist Republic,115,27th Congress of the Communist Party of the Soviet Union (1986),152,Burlington High School,,,,,,,,,,,,,,
583,France,95,Accelerando 2030,152,Burlington High School,,,,,,,,,,,,,,
589,Position 2,81,Ad-Hoc,152,Burlington High School,,,,,,,,,,,,,,
10,Djibouti,109,African Union,152,Burlington High School,,,,,,,,,,,,,,
11,Egypt ,109,African Union,152,Burlington High School,,,,,,,,,,,,,,
822,Thomas O. Ryder,91,Amazon Board of Directors (2019),152,Burlington High School,,,,,,,,,,,,,,
189,Algeria,104,Arab League,152,Burlington High School,,,,,,,,,,,,,,
190,Bahrain,104,Arab League,152,Burlington High School,,,,,,,,,,,,,,
563,"Patrick Grady, SNP Chief Whip",93,Brexit,152,Burlington High School,,,,,,,,,,,,,,
3,Botswana,109,African Union,129,Cape Elizabeth High School,,,,,,,,,,,,,,
25,Somalia ,109,African Union,129,Cape Elizabeth High School,,,,,,,,,,,,,,
