school_name,position_id,position_name
Western Reserve,EU:Romania
Western Reserve,African Union:Djibouti
Western Reserve,Arab League:Djibouti
Western Reserve,WHO:Germany
Western Reserve,UN Women:Germany
Western Reserve,HRC:South Korea
Western Reserve,DISEC:South Korea
Western Reserve,UNDP:Italy
Western Reserve,Plenary:Italy
Western Reserve,Plenary:Italy
Western Reserve,SpecPol:Italy
Western Reserve,HRC:Israel
Western Reserve,DISEC:Israel
Western Reserve,SpecPol:Syrian Arab Republic
Western Reserve,Peter the Great:Admiral Fyodor Apraksin
Western Reserve,Sri Lankan Parliament:Selvam Adaikalanathan
Western Reserve,Rashidun Caliphate:Aisha
Western Reserve,"EPA:CEO, Union Carbide"
Western Reserve,Egyptian Government:6
Western Reserve,Hungary:Lajos Batthyány
Saint Ann's,WHO:Armenia
Saint Ann's,UN Women:Armenia
Saint Ann's,Security Council:SENEGAL
Saint Ann's,EU:France 
Saint Ann's,UNHCR:China
Saint Ann's,UNDP:China
Saint Ann's,WHO:Honduras
Saint Ann's,UN Women:Honduras
Saint Ann's,Environmental Assembly:Italy
Saint Ann's,ECOSOC:Italy
Saint Ann's,Global Nato:New Zealand
Saint Ann's,British Parliament:Horace Walpole
Saint Ann's,Guadalajara:Loreto
Saint Ann's,ICC:Georgia
Saint Ann's,Rashidun Caliphate:Anwar Fawad
Saint Ann's,"EPA:John N.Mitchell, 67th Attorney General of the United States"
Saint Ann's,British Parliament:Sir Joseph Mawbey
Saint Ann's,Guadalajara:Amazonas
Saint Ann's,Singapore Crisis:Goh Keng Swee
Saint Ann's,Holy Alliance:Franz Anton Graf von Kolowrat-Liebsteinsky
St. John's,African Union:Nigeria
St. John's,African Union:Burkina Faso
St. John's,EU:Greece 
St. John's,African Union:Ghana
St. John's,UNHCR:Greece
St. John's,UNDP:Greece
St. John's,Environmental Assembly:Honduras
St. John's,ECOSOC:Honduras
St. John's,ECOSOC:Syrian Arab Republic
St. John's,UNHCR:Syrian Arab Republic
St. John's,HRC:Austria
St. John's,DISEC:Austria
St. John's,Plenary:Germany
St. John's,SpecPol:Germany
St. John's,HRC:United States
St. John's,DISEC:United States
St. John's,Sri Lankan Parliament:Sumedha G. Jayasena
St. John's,ICC:Canada
St. John's,Guadalajara:Ucayali
St. John's,Rashidun Caliphate:Sameer Khan
St. John's,Second Council of Lyon:David of Ashby
St. John's,EPA:Assistant Administrator for Toxic Substances (also known as the Assistant Administrator for the Office of Chemical Safety and Pollution Prevention);
St. John's,Cuba:Raúl Modesto Castro Ruz
St. John's,Columbian Crisis:Minister of Communications
St. John's,Cuba:Ernesto ‘Che’ Guevara de la Serna
NYCi,WHO:Afghanistan
NYCi,UN Women:Afghanistan
NYCi,Security Council:SWEDEN
NYCi,Westphalia:Venice 2
NYCi,"Second Council of Lyon:Joseph I of Constantinople, Ecumenical Patriarch of Constantinople"
NYCi,Zanzibar Revolutionary Government:13
Jeju,African Union:Madagascar
Jeju,African Union:Togo
Jeju,UN Women:Syrian Arab Republic
Jeju,Environmental Assembly:Syrian Arab Republic
Jeju,Arab League:Comoros
Jeju,Environmental Assembly:Bulgaria
Jeju,ECOSOC:Bulgaria
Jeju,African Union:Tanzania
Jeju,"EPA:Russel E. Train, White House Environmental Policy Council chairman"
Jeju,Sri Lankan Parliament:Anura Kumara Dissanayaka
RIMUN,EU:Italy 
RIMUN,ECOSOC:Finland
RIMUN,UNHCR:Finland
RIMUN,Environmental Assembly:Cameroon
RIMUN,ECOSOC:Cameroon
RIMUN,Plenary:Algeria
RIMUN,SpecPol:Algeria
RIMUN,Plenary:South Korea
RIMUN,SpecPol:South Korea
RIMUN,HRC:Turkey
RIMUN,DISEC:Turkey
RIMUN,WHO:El Salvador
RIMUN,UN Women:El Salvador
RIMUN,HRC:Pakistan
RIMUN,DISEC:Pakistan
RIMUN,Environmental Assembly:France
RIMUN,ECOSOC:France
RIMUN,Environmental Assembly:El Salvador
RIMUN,Global Nato:Russia
RIMUN,ICC:Austria
RIMUN,Guadalajara:Mato Grosso
RIMUN,Guadalajara:Illinois
RIMUN,Algeciras:Sofia Garcia
Colegio Maya,African Union:Botswana
Colegio Maya,EU:Germany 
Colegio Maya,African Union:Sierra Leone
Colegio Maya,Plenary:Saudi Arabia
Colegio Maya,SpecPol:Saudi Arabia
Colegio Maya,Environmental Assembly:Mexico
Colegio Maya,ECOSOC:Mexico
Colegio Maya,DISEC:Australia
Colegio Maya,Plenary:Canada
Colegio Maya,SpecPol:Canada
Colegio Maya,ICC:Philippines
